City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Dingle,PH,77.14,overcast clouds,11.0,122.67,SEGAYA PROPERTY
4,Butaritari,KI,81.7,scattered clouds,3.07,172.79,Isles Sunset Lodge
7,Ishigaki,JP,81.81,clear sky,24.34,124.16,Hotel Peace Land Ishigakijima
11,Atuona,PF,77.13,overcast clouds,-9.8,-139.03,Villa Enata
17,Cayenne,GF,89.64,clear sky,4.93,-52.33,Hôtel Le Dronmi
20,Georgetown,MY,78.73,moderate rain,5.41,100.34,Cititel Penang
22,Kendari,ID,76.41,overcast clouds,-3.94,122.5,Hotel Wixel
23,Wenchi,GH,82.38,light rain,7.74,-2.1,Ebenezer Hotel
30,Las Vegas,US,82.81,clear sky,36.17,-115.14,Plaza Hotel & Casino
32,Turan,VN,80.58,scattered clouds,16.07,108.22,Grand Mercure Danang
38,San Cristobal,VE,75.38,broken clouds,7.77,-72.22,Pirineos
39,Tomatlan,MX,82.38,scattered clouds,19.93,-105.25,El Salvial
40,Portobelo,PA,87.12,overcast clouds,9.55,-79.65,Scuba Portobelo
44,Castro,BR,76.96,few clouds,-24.79,-50.01,CHACARA BAILLY
46,Bucelas,PT,86.43,clear sky,38.9,-9.12,Sleep in Bucelas
48,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Kieta,PG,78.35,light rain,-6.22,155.63,Uruna Bay Retreat
57,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.08,Scoop Guest House
60,Bengkulu,ID,76.55,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
62,San Patricio,US,84.9,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
69,Vanimo,PG,78.62,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
75,Sao Filipe,CV,80.19,broken clouds,14.9,-24.5,Hotel Xaguate
78,Uthal,PK,81.64,clear sky,25.81,66.62,Al-Mustafa Hotel
85,Gojra,PK,85.05,clear sky,31.15,72.69,Faisal Electric store gojra
103,Kutum,SD,87.64,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
105,Salvador,SV,84.06,broken clouds,13.83,-88.92,Chico's Ranch
106,Victoria,HK,84.38,few clouds,22.29,114.16,Mini Central
110,Kollam,IN,76.89,overcast clouds,8.88,76.6,The Raviz Ashtamudi
112,Sola,VU,79.84,scattered clouds,-13.88,167.55,Ulkel Guest House
114,Nouadhibou,MR,84.78,overcast clouds,20.93,-17.03,El Medina
