City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,57.33,98,99,2.36,overcast clouds
1,Rikitea,PF,-23.12,-134.97,69.24,58,51,9.59,broken clouds
2,Dingle,PH,11.0,122.67,77.14,90,93,2.9,overcast clouds
3,Bluff,NZ,-46.6,168.33,34.81,66,86,10.89,light snow
4,Butaritari,KI,3.07,172.79,81.7,70,29,8.87,scattered clouds
5,Ribeira Grande,PT,38.52,-28.7,68.4,88,75,3.09,light intensity shower rain
6,Sitka,US,57.05,-135.33,55.54,89,100,3.52,overcast clouds
7,Ishigaki,JP,24.34,124.16,81.81,76,3,6.89,clear sky
8,Port Alfred,ZA,-33.59,26.89,65.68,85,100,6.33,overcast clouds
9,Namibe,AO,-15.2,12.15,66.65,81,23,5.33,few clouds
10,Busselton,AU,-33.65,115.33,52.43,59,62,4.59,broken clouds
11,Atuona,PF,-9.8,-139.03,77.13,66,88,8.47,overcast clouds
12,Mataura,NZ,-46.19,168.86,34.48,81,100,3.33,snow
13,Qaanaaq,GL,77.48,-69.36,9.3,73,95,3.28,overcast clouds
14,Bambous Virieux,MU,-20.34,57.76,72.21,73,40,3.6,scattered clouds
15,Victoria Point,AU,-27.58,153.3,64.9,92,100,0.45,overcast clouds
16,Geraldton,AU,-28.77,114.6,59.41,67,100,5.66,overcast clouds
17,Cayenne,GF,4.93,-52.33,89.64,55,0,4.12,clear sky
18,Anastacio,BR,-20.48,-55.81,98.38,33,48,5.2,scattered clouds
19,Muyezerskiy,RU,63.93,31.65,42.15,96,62,2.27,broken clouds
20,Georgetown,MY,5.41,100.34,78.73,93,40,2.06,moderate rain
21,Antibes,FR,43.56,7.13,74.68,74,0,3.09,clear sky
22,Kendari,ID,-3.94,122.5,76.41,90,100,0.13,overcast clouds
23,Wenchi,GH,7.74,-2.1,82.38,75,45,0.89,light rain
24,Avarua,CK,-21.21,-159.78,73.45,83,75,4.63,broken clouds
25,Biga,TR,40.23,27.24,66.06,51,18,7.47,few clouds
26,Chuy,UY,-33.7,-53.46,68.2,53,29,6.05,scattered clouds
27,Zima,RU,53.92,102.04,31.35,75,83,1.58,broken clouds
28,Paita,PE,-5.09,-81.11,70.14,65,22,5.36,few clouds
29,Ushuaia,AR,-54.8,-68.3,46.38,68,100,3.24,overcast clouds
30,Las Vegas,US,36.17,-115.14,82.81,28,0,1.54,clear sky
31,Makakilo City,US,21.35,-158.09,72.99,86,35,3.21,scattered clouds
32,Turan,VN,16.07,108.22,80.58,94,40,2.06,scattered clouds
33,Pevek,RU,69.7,170.31,28.04,67,100,3.74,overcast clouds
34,East London,ZA,-33.02,27.91,68.02,75,83,2.92,broken clouds
35,Husavik,IS,66.04,-17.34,36.55,98,100,14.12,overcast clouds
36,Saskylakh,RU,71.92,114.08,8.08,97,95,2.24,overcast clouds
37,Puerto Ayora,EC,-0.74,-90.35,73.36,92,78,1.79,broken clouds
38,San Cristobal,VE,7.77,-72.22,75.38,67,59,0.91,broken clouds
39,Tomatlan,MX,19.93,-105.25,82.38,73,46,0.25,scattered clouds
40,Portobelo,PA,9.55,-79.65,87.12,73,100,1.25,overcast clouds
41,Saint George,US,37.1,-113.58,72.43,35,0,2.57,clear sky
42,Srednekolymsk,RU,67.45,153.68,21.33,89,100,9.64,light snow
43,Punta Arenas,CL,-53.15,-70.92,51.91,46,75,6.17,broken clouds
44,Castro,BR,-24.79,-50.01,76.96,52,13,1.68,few clouds
45,Airai,TL,-8.93,125.41,60.69,90,96,0.83,overcast clouds
46,Bucelas,PT,38.9,-9.12,86.43,41,0,6.69,clear sky
47,Raga,SS,8.46,25.68,73.44,85,98,0.55,light rain
48,Vaini,TO,-21.2,-175.2,75.36,94,40,2.06,scattered clouds
49,Tuatapere,NZ,-46.13,167.68,35.85,81,100,6.95,overcast clouds
50,Kieta,PG,-6.22,155.63,78.35,84,95,2.03,light rain
51,Eldorado,BR,-23.79,-54.28,73.08,77,100,3.28,very heavy rain
52,Dikson,RU,73.51,80.55,31.28,69,100,1.04,overcast clouds
53,Kirchhain,DE,50.82,8.97,66.51,62,44,5.48,scattered clouds
54,Idaho Falls,US,43.47,-112.03,56.37,62,0,2.06,clear sky
55,Genhe,CN,50.78,121.52,20.5,62,10,1.13,clear sky
56,Cape Town,ZA,-33.93,18.42,66.34,51,6,3.13,clear sky
57,Hithadhoo,MV,-0.6,73.08,82.76,74,98,7.55,overcast clouds
58,Nikolskoye,RU,59.7,30.79,48.78,93,96,2.12,overcast clouds
59,Chapleau,CA,47.84,-83.4,63.25,63,100,4.99,overcast clouds
60,Bengkulu,ID,-3.8,102.27,76.55,84,100,1.3,heavy intensity rain
61,Belyy Yar,RU,53.6,91.39,39.09,87,40,3.0,light intensity shower rain
62,San Patricio,US,28.02,-97.52,84.9,51,6,2.63,clear sky
63,Setermoen,NO,68.86,18.35,46.44,79,98,0.89,overcast clouds
64,Sambava,MG,-14.27,50.17,71.74,89,3,4.84,clear sky
65,Saint Anthony,US,45.02,-93.22,70.79,69,0,3.6,clear sky
66,Cap-Aux-Meules,CA,47.38,-61.86,53.55,87,12,5.28,few clouds
67,Hermiston,US,45.84,-119.29,67.66,63,0,0.0,clear sky
68,Half Moon Bay,US,37.46,-122.43,63.59,93,100,5.14,mist
69,Vanimo,PG,-2.67,141.3,78.62,89,94,3.28,overcast clouds
70,Carnarvon,AU,-24.87,113.63,65.19,59,22,10.3,few clouds
71,Pisco,PE,-13.7,-76.22,63.01,77,100,3.09,haze
72,Hamilton,US,39.18,-84.53,72.39,40,0,1.54,clear sky
73,Sayyan,YE,15.17,44.32,65.57,32,63,7.07,broken clouds
74,Barrow,US,71.29,-156.79,35.62,80,100,7.2,overcast clouds
75,Sao Filipe,CV,14.9,-24.5,80.19,76,60,2.22,broken clouds
76,Patos,BR,-7.02,-37.28,98.1,21,5,6.86,clear sky
77,Sorland,NO,67.67,12.69,50.49,76,87,6.98,overcast clouds
78,Uthal,PK,25.81,66.62,81.64,74,0,3.92,clear sky
79,Hobart,AU,-42.88,147.33,49.86,79,100,2.57,drizzle
80,Provideniya,RU,64.38,-173.3,39.07,95,100,5.69,light rain
81,Mae Hong Son,TH,19.3,97.97,73.2,90,39,0.95,scattered clouds
82,Hermanus,ZA,-34.42,19.23,63.81,71,1,5.25,clear sky
83,Saldanha,ZA,-33.01,17.94,60.37,66,62,4.81,broken clouds
84,Sidi Ali,DZ,36.1,0.42,73.33,64,42,5.51,scattered clouds
85,Gojra,PK,31.15,72.69,85.05,20,0,2.76,clear sky
86,Yellowknife,CA,62.46,-114.35,32.56,67,7,2.68,clear sky
87,Lompoc,US,34.64,-120.46,56.12,100,100,0.51,fog
88,Zhanaozen,KZ,43.3,52.8,67.93,11,2,7.93,clear sky
89,Landeck,AT,47.13,10.56,65.98,62,39,0.12,scattered clouds
90,Mahebourg,MU,-20.41,57.7,72.25,73,40,3.6,scattered clouds
91,Verkhnyaya Inta,RU,65.98,60.31,43.21,85,99,3.96,overcast clouds
92,Jamestown,US,42.1,-79.24,65.01,46,0,2.06,clear sky
93,Saint-Philippe,RE,-21.36,55.77,71.19,77,19,4.66,few clouds
94,Westport,US,41.14,-73.36,60.28,91,100,2.24,light rain
95,Upernavik,GL,72.79,-56.15,20.23,76,92,2.23,overcast clouds
96,Portland,US,45.52,-122.68,59.74,94,100,3.09,light intensity drizzle
97,Saint-Leu,RE,-21.15,55.28,72.43,75,26,0.23,scattered clouds
98,Dengfeng,CN,34.46,113.03,41.31,93,100,1.64,overcast clouds
99,Kodiak,US,57.79,-152.41,53.11,82,100,10.29,heavy intensity rain
100,Kaitangata,NZ,-46.28,169.85,35.06,76,99,6.79,light snow
101,Cherskiy,RU,68.75,161.3,22.44,80,100,3.37,overcast clouds
102,Vostok,RU,46.49,135.88,28.24,83,93,2.89,overcast clouds
103,Kutum,SD,14.2,24.67,87.64,18,36,4.88,scattered clouds
104,Juneau,US,58.3,-134.42,50.22,100,100,1.54,light rain
105,Salvador,SV,13.83,-88.92,84.06,67,84,1.5,broken clouds
106,Victoria,HK,22.29,114.16,84.38,77,11,5.81,few clouds
107,Sisimiut,GL,66.94,-53.67,31.82,65,15,1.79,few clouds
108,Ust-Maya,RU,60.42,134.53,23.29,87,63,3.68,broken clouds
