City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bowen,AU,2022-10-02 12:50:10,-20.0167,148.2333,74.89400000000008,68,97,3.47
1,Clyde River,CA,2022-10-02 12:50:11,70.4692,-68.5914,25.033999999999992,86,0,2.57
2,Victoria,HK,2022-10-02 12:50:11,22.2855,114.1577,85.17200000000004,83,17,4.02
3,Broomfield,US,2022-10-02 12:49:53,39.9205,-105.0866,57.95600000000003,82,0,1.34
4,Punta Arenas,CL,2022-10-02 12:50:12,-53.15,-70.9167,32.108000000000004,80,0,2.06
5,Nikolskoye,RU,2022-10-02 12:50:13,59.7035,30.7861,51.69199999999999,67,81,3.08
6,Albany,US,2022-10-02 12:46:49,42.6001,-73.9662,48.63200000000002,77,36,4.21
7,Dhidhdhoo,MV,2022-10-02 12:50:13,6.8833,73.1,81.96800000000009,76,100,9.52
8,Petropavlovsk-Kamchatskiy,RU,2022-10-02 12:50:14,53.0452,158.6483,34.39400000000008,80,0,3.0
9,Saint Anthony,US,2022-10-02 12:50:14,45.0205,-93.218,55.814000000000036,92,0,3.09
10,Ojinaga,MX,2022-10-02 12:50:15,29.5667,-104.4167,67.15400000000005,63,0,4.12
11,Airai,TL,2022-10-02 12:50:15,-8.9266,125.4092,63.266000000000005,94,95,0.93
12,Assare,BR,2022-10-02 12:50:15,-6.8744,-39.875,88.86200000000005,29,1,3.3
13,Port Elizabeth,ZA,2022-10-02 12:50:16,-33.918,25.5701,86.09000000000003,77,0,6.69
14,New Norfolk,AU,2022-10-02 12:50:17,-42.7826,147.0587,51.71000000000008,62,99,0.89
15,Qaanaaq,GL,2022-10-02 12:50:17,77.484,-69.3632,7.898000000000025,67,0,3.93
16,Kapaa,US,2022-10-02 12:50:18,22.0752,-159.319,75.18200000000002,93,20,2.57
17,Port Hardy,CA,2022-10-02 12:45:34,50.6996,-127.4199,50.0,100,0,1.03
18,Mar Del Plata,AR,2022-10-02 12:46:36,-38.0023,-57.5575,63.08600000000007,78,0,4.02
19,Areia Branca,BR,2022-10-02 12:50:18,-4.9561,-37.1369,87.99800000000002,37,2,6.37
20,Ponta Do Sol,PT,2022-10-02 12:50:19,32.6667,-17.1,78.00800000000001,71,3,0.63
21,Pangnirtung,CA,2022-10-02 12:50:19,66.1451,-65.7125,29.533999999999992,47,9,2.29
22,Mataura,NZ,2022-10-02 12:50:20,-46.1927,168.8643,47.48000000000004,90,100,1.11
23,Jamestown,US,2022-10-02 12:50:20,42.097,-79.2353,53.024000000000015,68,75,6.17
24,Uyuni,BO,2022-10-02 12:50:21,-20.4597,-66.825,50.09000000000002,16,97,2.33
25,Tasiilaq,GL,2022-10-02 12:50:21,65.6145,-37.6368,36.391999999999996,95,100,16.4
26,Antofagasta,CL,2022-10-02 12:50:22,-23.65,-70.4,56.48000000000005,56,51,3.13
27,Rikitea,PF,2022-10-02 12:50:22,-23.1203,-134.9692,73.184,69,100,3.03
28,Esperance,AU,2022-10-02 12:50:23,-33.8667,121.9,53.438000000000045,78,100,6.96
29,Dikson,RU,2022-10-02 12:50:23,73.5069,80.5464,29.912000000000056,82,89,7.72
30,Awjilah,LY,2022-10-02 12:50:23,29.1081,21.2869,105.31400000000004,10,0,5.83
31,East London,ZA,2022-10-02 12:50:24,-33.0153,27.9116,72.53600000000007,78,0,7.72
32,Shuya,RU,2022-10-02 12:50:24,56.8487,41.3883,54.91400000000003,71,97,3.62
33,Ribeira Grande,PT,2022-10-02 12:50:25,38.5167,-28.7,71.99600000000005,88,75,4.63
34,Santiago Del Estero,AR,2022-10-02 12:50:25,-27.7951,-64.2615,71.65400000000005,39,89,3.42
35,Surovikino,RU,2022-10-02 12:50:26,48.6078,42.8486,78.40400000000005,41,100,5.63
36,Carnarvon,AU,2022-10-02 12:50:26,-24.8667,113.6333,68.77400000000002,73,2,9.61
37,Prieska,ZA,2022-10-02 12:50:27,-29.6641,22.7474,95.88200000000002,4,0,6.7
38,Port Alfred,ZA,2022-10-02 12:50:27,-33.5906,26.891,72.1760000000001,82,0,3.13
39,Castro,BR,2022-10-02 12:50:28,-24.7911,-50.0119,63.986000000000075,81,97,1.78
40,Atar,MR,2022-10-02 12:50:28,20.5169,-13.0499,95.66600000000001,17,0,2.49
41,Kaitangata,NZ,2022-10-02 12:50:29,-46.2817,169.8464,39.74000000000002,94,16,2.85
42,Busselton,AU,2022-10-02 12:50:29,-33.65,115.3333,53.07800000000007,68,5,5.95
43,Pisco,PE,2022-10-02 12:50:30,-13.7,-76.2167,60.026000000000096,88,100,3.6
44,Bathsheba,BB,2022-10-02 12:50:30,13.2167,-59.5167,86.61200000000005,74,40,6.69
45,Hilo,US,2022-10-02 12:50:31,19.7297,-155.09,83.28200000000001,73,0,2.57
46,Yarovoye,RU,2022-10-02 12:51:31,52.9273,78.58,39.07400000000001,49,18,3.17
47,Zhigansk,RU,2022-10-02 12:51:31,66.7697,123.3711,22.352000000000075,84,45,2.05
48,Hobart,AU,2022-10-02 12:47:07,-42.8794,147.3294,52.05200000000008,83,75,3.09
49,Vaini,TO,2022-10-02 12:51:32,-21.2,-175.2,73.56200000000007,88,20,2.57
50,Saldanha,ZA,2022-10-02 12:51:33,-33.0117,17.9442,75.25400000000005,71,34,3.83
51,Geraldton,AU,2022-10-02 12:51:33,-28.7667,114.6,61.214000000000034,88,2,2.57
52,Faya,SA,2022-10-02 12:51:34,18.3851,42.4509,73.92200000000004,43,34,5.75
53,Bonthe,SL,2022-10-02 12:51:34,7.5264,-12.505,80.042,81,100,3.41
54,Umm Lajj,SA,2022-10-02 12:51:35,25.0213,37.2685,90.32000000000006,46,0,4.37
55,Acari,PE,2022-10-02 12:51:35,-15.4311,-74.6158,70.62800000000007,62,99,2.08
56,Tokmak,UA,2022-10-02 12:51:35,47.2514,35.7058,66.92000000000007,80,100,5.4
57,Saint-Philippe,RE,2022-10-02 12:51:36,-21.3585,55.7679,72.98600000000008,72,43,4.99
58,Butaritari,KI,2022-10-02 12:51:36,3.0707,172.7902,81.03200000000001,78,100,6.55
59,Talnakh,RU,2022-10-02 12:51:37,69.4865,88.3972,25.214000000000034,95,98,2.98
60,Arraial Do Cabo,BR,2022-10-02 12:50:20,-22.9661,-42.0278,75.16400000000004,83,40,3.6
61,Longyearbyen,SJ,2022-10-02 12:51:38,78.2186,15.6401,37.23800000000004,87,100,1.54
62,Puerto Ayora,EC,2022-10-02 12:51:38,-0.7393,-90.3518,62.54600000000005,100,100,0.89
63,Provideniya,RU,2022-10-02 12:51:39,64.3833,-173.3,34.898000000000025,82,20,4.37
64,Carmen,MX,2022-10-02 12:51:29,18.6333,-91.8333,77.16200000000006,71,100,1.24
65,Mala,PE,2022-10-02 12:51:39,-12.6581,-76.6308,65.13800000000005,75,78,1.7
66,Haskovo,BG,2022-10-02 12:51:40,41.9403,25.5694,75.66800000000009,24,0,10.67
67,Khandbari,NP,2022-10-02 12:51:40,27.3747,87.2039,71.74400000000009,88,5,0.75
68,Seoul,KR,2022-10-02 12:48:46,37.5683,126.9778,67.44200000000001,85,100,4.63
